source,player,pos,team,bye,pass_yds,pass_tds,pass_int,rush_yds,rush_tds,fumbles_lost,two_pts,rec,rec_yds,rec_tds,xp,fg_0019,fg_2029,fg_3039,fg_4049,fg_50,fg_miss,dst_sacks,dst_int,dst_fum_rec,dst_td,dst_safety,dst_blk,dst_forced_fumble,dst_pts_allowed
NFL,Ainias Allen,QB,WAS,6,3564.482,25.711,9.208,128.366,1.161,2.234,0.382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CBS,Deven McConkey,QB,IND,8,3420.103,26.274,6.738,472.553,4.406,2.277,0.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESPN,Deven McConkey,QB,IND,8,4244.452,24.288,7.878,449.139,5.356,1.866,0.357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FantasyPros,Deven McConkey,QB,IND,8,3421.689,26.736,7.637,489.943,4.919,2.091,0.402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FFToday,Deven McConkey,QB,IND,8,3401.395,24.596,7.486,452.04,4.529,2.014,0.361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NumberFire,Deven McConkey,QB,IND,8,3533.752,26.788,7.641,486.044,4.214,2.046,0.404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NFL,Deven McConkey,QB,IND,8,3485.893,28.91,8.037,505.205,4.865,1.995,0.412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CBS,Ladd Nix,QB,NO,7,3815.188,22.651,8.538,116.816,1.176,2.026,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESPN,Ladd Nix,QB,NO,7,2939.372,27.105,7.927,126.342,1.2,1.778,0.373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FantasyPros,Ladd Nix,QB,NO,7,3508.688,25.717,7.847,118.869,1.315,1.979,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FFToday,Ladd Nix,QB,NO,7,3440.997,22.28,7.584,113.105,1.159,2.17,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NumberFire,Ladd Nix,QB,NO,7,3989.814,25.332,7.794,135.984,0.979,1.884,0.316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NFL,Ladd Nix,QB,NO,7,3761.151,23.94,8.288,100.491,0.941,2.059,0.401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CBS,Theo Daniels,QB,CAR,9,3708.29,24.701,6.996,105.803,0.982,2.04,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESPN,Theo Daniels,QB,CAR,9,3216.049,24.724,6.938,106.825,1.123,1.951,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FantasyPros,Theo Daniels,QB,CAR,9,3566.466,25.415,8.105,99.743,1.133,1.976,0.354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FFToday,Theo Daniels,QB,CAR,9,3452.142,23.512,8.182,121.488,1.092,1.903,0.345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NumberFire,Theo Daniels,QB,CAR,9,3476.915,25.751,8.673,119.119,1.176,2.085,0.353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NFL,Theo Daniels,QB,CAR,9,3153.983,22.199,8.917,116.347,1.131,1.744,0.351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CBS,Braelon Brooks,QB,CHI,10,3050.106,24.915,7.539,442.559,4.293,1.577,0.292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESPN,Braelon Brooks,QB,CHI,10,3419.251,21.18,7.445,415.602,5.175,1.486,0.335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FantasyPros,Braelon Brooks,QB,CHI,10,2973.006,26.947,7.805,399.427,4.911,1.779,0.372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FFToday,Braelon Brooks,QB,CHI,10,3562.116,26.83,6.953,432.995,4.017,2.233,0.405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NumberFire,Braelon Brooks,QB,CHI,10,3368.341,22.686,7.729,465.428,4.762,1.899,0.386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NFL,Braelon Brooks,QB,CHI,10,2797.637,22.825,8.602,474.801,3.895,1.964,0.352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CBS,Tank Shipley,QB,LV,13,3397.984,22.489,7.468,100.74,1.023,2.363,0.365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESPN,Tank Shipley,QB,LV,13,2877.959,20.115,7.64,122.429,1.071,1.759,0.327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FantasyPros,Tank Shipley,QB,LV,13,3059.278,19.989,8.737,111.053,1.068,1.847,0.376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FFToday,Tank Shipley,QB,LV,13,3091.352,19.317,7.687,91.738,0.994,1.706,0.298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NumberFire,Tank Shipley,QB,LV,13,3285.913,20.677,8.061,105.034,0.95,1.819,0.364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NFL,Tank Shipley,QB,LV,13,2998.02,25.628,8.856,120.459,0.865,1.912,0.364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CBS,Troy Walker,QB,DEN,14,3148.124,23.165,8.523,102.068,0.979,1.829,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESPN,Troy Walker,QB,DEN,14,2796.288,20.804,8.323,106.98,0.881,2.003,0.292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FantasyPros,Troy Walker,QB,DEN,14,3048.037,23.424,7.161,106.77,0.913,1.972,0.355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FFToday,Troy Walker,QB,DEN,14,3257.659,21.034,8.13,91.559,0.965,1.95,0.261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NumberFire,Troy Walker,QB,DEN,14,3103.289,23.532,7.551,89.08,1.054,1.608,0.326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NFL,Troy Walker,QB,DEN,14,3220.482,22.412,8.282,107.688,1.021,1.884,0.312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CBS,Devon Penix,QB,MIA,14,2926.153,22.999,7.825,390.197,3.73,2.302,0.339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESPN,Devon Penix,QB,MIA,14,2879.415,21.709,7.829,429.221,3.353,1.731,0.366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FantasyPros,Devon Penix,QB,MIA,14,3061.34,17.346,6.603,394.85,3.711,1.927,0.316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FFToday,Devon Penix,QB,MIA,14,2901.053,24.731,8.175,399.422,4.16,1.758,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NumberFire,Devon Penix,QB,MIA,14,3078.805,23.764,7.587,451.095,4.229,1.772,0.317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NFL,Devon Penix,QB,MIA,14,3323.324,19.058,7.92,387.376,3.316,1.895,0.307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CBS,Tucker Spears,QB,NYG,8,3018.222,18.814,8.403,116.806,0.872,1.753,0.308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESPN,Tucker Spears,QB,NYG,8,2918.147,19.917,7.549,114.776,0.778,2.009,0.318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FantasyPros,Tucker Spears,QB,NYG,8,2966.838,20.852,7.767,97.145,1.021,1.806,0.356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FFToday,Tucker Spears,QB,NYG,8,3068.279,18.783,7.196,99.028,0.931,1.761,0.317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NumberFire,Tucker Spears,QB,NYG,8,2639.682,25.554,6.596,98.513,0.922,1.797,0.273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NFL,Tucker Spears,QB,NYG,8,3128.769,22.968,6.474,94.426,0.993,1.883,0.313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CBS,Deven Gibbs,QB,CHI,10,3148.442,20.326,7.786,92.732,0.866,2.079,0.305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESPN,Deven Gibbs,QB,CHI,10,2839.683,20.544,7.976,90.177,0.919,1.781,0.307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FantasyPros,Deven Gibbs,QB,CHI,10,2977.043,19.304,6.272,83.185,1.167,2.152,0.295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FFToday,Deven Gibbs,QB,CHI,10,2876.745,19.024,6.401,96.442,0.741,1.819,0.304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NumberFire,Deven Gibbs,QB,CHI,10,2674.939,21.769,7.413,82.322,0.865,1.773,0.308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NFL,Deven Gibbs,QB,CHI,10,2758.909,20.793,7.257,77.079,0.915,2.111,0.299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CBS,Bijan Spears,QB,WAS,6,2970.703,20.447,6.527,414.742,3.803,2.009,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESPN,Bijan Spears,QB,WAS,6,2504.203,23.897,6.454,408.344,3.288,1.679,0.297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FantasyPros,Bijan Spears,QB,WAS,6,2716.189,23.281,8.178,374.917,4.112,1.769,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FFToday,Bijan Spears,QB,WAS,6,2925.722,19.817,6.668,425.879,3.464,1.735,0.284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NumberFire,Bijan Spears,QB,WAS,6,2642.061,19.073,7.427,400.69,4.016,1.81,0.286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NFL,Bijan Spears,QB,WAS,6,2610.27,18.986,8.81,362.746,3.171,1.91,0.261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CBS,Deven Irving,QB,WAS,6,2693.743,19.075,6.903,77.987,0.865,1.815,0.278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESPN,Deven Irving,QB,WAS,6,2256.82,20.656,8.307,90.72,0.89,1.817,0.269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FantasyPros,Deven Irving,QB,WAS,6,2761.634,19.826,5.48,92.774,0.878,1.557,0.248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FFToday,Deven Irving,QB,WAS,6,2441.466,19.335,7.512,92.245,0.85,2.054,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NumberFire,Deven Irving,QB,WAS,6,2629.278,18.625,7.706,90.925,0.874,1.787,0.299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NFL,Deven Irving,QB,WAS,6,2781.329,17.535,6.971,92.921,0.951,1.965,0.264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CBS,Roman Walker,QB,LAC,11,3302.52,16.344,5.653,88.904,0.885,1.426,0.269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESPN,Roman Walker,QB,LAC,11,2623.57,17.325,7.355,90.502,0.758,1.866,0.283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FantasyPros,Roman Walker,QB,LAC,11,2348.979,17.837,7.579,86.112,0.853,1.912,0.236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FFToday,Roman Walker,QB,LAC,11,2829.829,15.98,6.896,81.838,0.88,1.909,0.291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NumberFire,Roman Walker,QB,LAC,11,2403.849,19.106,7.262,88.02,0.917,1.585,0.307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NFL,Roman Walker,QB,LAC,11,2867.728,18.729,7.349,91.277,0.984,1.735,0.276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CBS,Keon Irving,QB,TEN,5,2224.433,12.963,5.342,319.04,3.332,1.969,0.259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESPN,Keon Irving,QB,TEN,5,2190.759,15.863,6.971,290.488,3.212,1.565,0.229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FantasyPros,Keon Irving,QB,TEN,5,2073.914,17.472,7.27,278.829,3.026,1.929,0.302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FFToday,Keon Irving,QB,TEN,5,2460.903,17.161,7.011,295.544,3.108,1.69,0.259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NumberFire,Keon Irving,QB,TEN,5,2067.037,18.271,7.962,325.903,3.252,1.953,0.267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NFL,Keon Irving,QB,TEN,5,1932.762,17.683,7.125,249.512,2.717,1.838,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CBS,Jonathon Coleman,QB,ATL,6,1730.51,14.52,7.483,70.963,0.701,1.433,0.232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESPN,Jonathon Coleman,QB,ATL,6,2022.92,15.152,7.457,72.107,0.587,1.622,0.203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FantasyPros,Jonathon Coleman,QB,ATL,6,1619.56,14.894,7.203,61.052,0.621,1.802,0.242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FFToday,Jonathon Coleman,QB,ATL,6,2102.546,16.069,8.245,62.513,0.659,1.652,0.206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NumberFire,Jonathon Coleman,QB,ATL,6,2097.765,13.032,7.142,66.494,0.64,1.473,0.248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NFL,Jonathon Coleman,QB,ATL,6,1904.164,13.485,7.034,63.932,0.614,2.039,0.233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CBS,Jalen Irving,QB,DAL,13,2076.872,12.425,6.925,66.656,0.584,1.41,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESPN,Jalen Irving,QB,DAL,13,2017.262,10.47,7.944,68.793,0.604,1.598,0.214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FantasyPros,Jalen Irving,QB,DAL,13,1903.513,14.125,5.574,64.449,0.581,1.576,0.176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FFToday,Jalen Irving,QB,DAL,13,1814.931,14.719,7.49,67.887,0.569,1.666,0.221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NumberFire,Jalen Irving,QB,DAL,13,1579.051,11.704,7.367,63.32,0.624,1.812,0.161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NFL,Jalen Irving,QB,DAL,13,1786.519,15.496,6.162,54.254,0.662,1.835,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CBS,Grant Pollard,QB,CIN,11,1243.736,11.782,6.235,242.735,2.129,1.695,0.168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESPN,Grant Pollard,QB,CIN,11,1644.842,10.41,5.381,209.304,2.092,1.736,0.203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FantasyPros,Grant Pollard,QB,CIN,11,1492.47,11.57,6.196,214.507,2.477,1.486,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FFToday,Grant Pollard,QB,CIN,11,1690.012,13.526,6.849,199.28,1.994,1.615,0.175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NumberFire,Grant Pollard,QB,CIN,11,1703.934,9.474,6.752,226.138,1.59,1.654,0.155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NFL,Grant Pollard,QB,CIN,11,1446.767,12.563,6.589,208.692,2.031,1.719,0.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CBS,Emeka Harrison,QB,SEA,12,1683.527,12.126,6.43,39.845,0.478,1.744,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESPN,Emeka Harrison,QB,SEA,12,1592.108,9.492,6.853,51.557,0.444,1.667,0.172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FantasyPros,Emeka Harrison,QB,SEA,12,1342.22,11.227,5.64,52.897,0.505,1.644,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FFToday,Emeka Harrison,QB,SEA,12,1823.94,11.942,5.597,48.57,0.542,1.728,0.113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NumberFire,Emeka Harrison,QB,SEA,12,1446.653,11.058,6.294,52.871,0.413,1.556,0.174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NFL,Emeka Harrison,QB,SEA,12,1544.415,10.969,6.899,44.928,0.507,1.396,0.174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CBS,Kyren Nabers,QB,TEN,5,1459.255,9.492,6.713,41.893,0.468,1.863,0.155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESPN,Kyren Nabers,QB,TEN,5,1544.291,9.535,5.588,44.187,0.444,1.667,0.143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FantasyPros,Kyren Nabers,QB,TEN,5,1364.362,8.054,6.723,47.673,0.405,1.582,0.134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FFToday,Kyren Nabers,QB,TEN,5,1456.723,8.939,6.244,51.583,0.48,1.609,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NumberFire,Kyren Nabers,QB,TEN,5,1111.935,10.427,6.035,34.437,0.436,1.592,0.149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NFL,Kyren Nabers,QB,TEN,5,1316.33,7.677,7.733,44.725,0.448,1.734,0.135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
