player,pos,adp,adp_sd,ecr
Deven Worthy,WR,259,29.31,259
Tank Daniels,RB,260,29.4,260
Dylan Nabers,WR,261,29.49,261
Chase Hall,K,262,29.58,262
Ainias Nabers,RB,263,29.67,263
Marcus Benson,K,264,29.76,264
Rashee Maye,K,265,29.85,265
Grant Spears,RB,266,29.94,266
Puka Jefferson,WR,267,30.03,267
Lions DST,DST,268,30.12,268
Colts DST,DST,269,30.21,269
Rashee Hall,WR,270,30.3,270
Emeka Benson,WR,271,30.39,271
Tucker Legette,WR,272,30.48,272
Jaguars DST,DST,273,30.57,273
Elic Mason,K,274,30.66,274
Jayden Wilson,K,275,30.75,275
Chase Allen,TE,276,30.84,276
Grant Wright,WR,277,30.93,277
Chiefs DST,DST,278,31.02,278
Texans DST,DST,279,31.11,279
Theo Nabers,RB,280,31.2,280
Marvin Robinson,WR,281,31.29,281
Rashee Pollard,WR,282,31.38,282
Tucker Maye,K,283,31.47,283
Rashee Corum,K,284,31.56,284
Rams DST,DST,285,31.65,285
Packers DST,DST,286,31.74,286
Roman Allen,RB,287,31.83,287
Vikings DST,DST,288,31.92,288
Jonathon Carter,K,289,32.01,289
Chase Daniels,WR,290,32.1,290
Amari Gibbs,K,291,32.19,291
Patriots DST,DST,292,32.28,292
Cooper Irving,K,293,32.37,293
Chargers DST,DST,294,32.46,294
Jets DST,DST,295,32.55,295
Giants DST,DST,296,32.64,296
Raiders DST,DST,297,32.73,297
Dolphins DST,DST,298,32.82,298
49ers DST,DST,299,32.91,299
Saints DST,DST,300,33.0,300
Seahawks DST,DST,301,33.09,301
Steelers DST,DST,302,33.18,302
Garrett Jefferson,K,303,33.27,303
Tucker Pollard,K,304,33.36,304
Commanders DST,DST,305,33.45,305
Eagles DST,DST,306,33.54,306
Titans DST,DST,307,33.63,307
Buccaneers DST,DST,308,33.72,308
